country,street_name,gender,occupation_category
AT,Anton-von-Webern-Platz,male,other
AT,Antonie-Alt-Gasse,female,other
AT,Antonie-Platzer-Gasse,female,other
AT,Antonigasse,male,other
AT,Antonsplatz,male,other
AT,Anzengruberbrücke,male,other
AT,Anzengrubergasse,male,other
AT,Anzengruberstraße,male,other
AT,Arenberggasse,male,other
AT,Argauergasse,male,other
AT,Ari-Rath-Platz,male,other
AT,Aribogasse,male,other
AT,Aristides-de-Sousa-Mendes-Promenade,male,other
AT,Arlethgasse,male,other
AT,Arltgasse,male,other
AT,Armbrustergasse,male,other
AT,Arndtstraße,male,other
AT,Arnethgasse,male,other
AT,Arnezhoferstraße,male,other
AT,Arnimgasse,male,other
AT,Arnold-Holm-Gasse,male,other
AT,Arnold-Pollak-Brücke,male,other
AT,Arnoldgasse,male,other
AT,Arnsburggasse,male,other
AT,Arnsteingasse,male,other
AT,Arthaberplatz,male,other
AT,Artholdgasse,male,other
AT,Arthur-Schnitzler-Platz,male,other
AT,Artmanngasse,male,other
AT,Arzbergergasse,male,other
AT,Aschbachgasse,male,other
AT,Aschergasse,male,other
AT,Aslangasse,male,other
AT,Aßmayergasse,male,other
AT,Astgasse,male,other
AT,Attemsgasse,male,other
AT,Atzlergasse,male,other
AT,Audorfgasse,male,other
AT,Auer-Welsbach-Straße,male,other
AT,Auernheimergasse,male,other
AT,Auerspergstraße,male,other
AT,Augasse,male,other
AT,August-Forel-Gasse,male,other
AT,August-Greiml-Weg,male,other
AT,August-Kronberger-Gasse,male,other
AT,August-Kronberger-Weg,male,other
AT,August-Reuss-Gasse,male,other
AT,August-Ritt-Brücke,male,other
AT,August-Sigl-Straße,male,other
AT,Augustinplatz,female,other
AT,Aumannplatz,male,other
AT,Auspitzgasse,male,other
AT,Avedikstraße,male,other
AT,Axel-Corti-Gasse,male,other
AT,Ayrenhoffgasse,male,other
AT,Babitschgasse,male,other
AT,Bacherplatz,male,other
AT,Bachofengasse,male,other
AT,Bachrachgasse,male,other
AT,Baldassgasse,male,other
AT,Balderichgasse,male,other
AT,Baldiagasse,male,other
AT,Balgavyweg,male,other
AT,Bambergergasse,male,other
AT,Barakgasse,male,other
AT,Baranygasse,male,other
AT,Barawitzkagasse,male,other
AT,Barbara-Prammer-Allee,female,other
AT,Barbaragasse,female,other
AT,Barichgasse,male,other
AT,Baron-Karl-Gasse,male,other
AT,Bartensteingasse,male,other
AT,Barthgasse,male,other
AT,Bartschweg,male,other
AT,Baschgasse,male,other
AT,Bastiengasse,male,other
AT,Batkagasse,male,other
AT,Batschegasse,male,other
AT,Battiggasse,male,other
AT,Baudißgasse,male,other
AT,Bäuerlegasse,male,other
AT,Bauernfeldgasse,male,other
AT,Bauernfeldplatz,male,other
AT,Baumannstraße,male,other
AT,Baumberggasse,female,other
AT,Baumeistergasse,male,other
AT,Baumergasse,male,other
AT,Baumgartenstraße,male,other
AT,Beatrix-Kempf-Gasse,female,other
AT,Beatrixgasse,female,other
AT,Bechardgasse,male,other
AT,Bechardgasse,female,other
AT,Bechergasse,male,other
AT,Beckgasse,male,other
AT,Beckmanngasse,male,other
AT,Beduzziweg,male,other
AT,Beer-Hofmann-Gasse,male,other
AT,Beer-Hofmann-Weg,male,other
AT,Beethovengang,male,other
AT,Beethovengasse,male,other
AT,Beethovenplatz,male,other
AT,Beethovenstraße,male,other
AT,Beethovenweg,male,other
AT,Beheimgasse,male,other
AT,Behselgasse,male,other
AT,Beichlgasse,male,other
AT,Bela-Laszky-Gasse,male,other
AT,Belghofergasse,male,other
AT,Belghofersteg,male,other
AT,Bellegardegasse,male,other
AT,Bellgasse,male,other
AT,Bellinigasse,male,other
AT,Benatzkygasse,male,other
AT,Bendagasse,male,other
AT,Bendlgasse,male,other
AT,Benedikt-Schellinger-Gasse,male,other
AT,Benischkegasse,male,other
AT,Benjowskigasse,male,other
AT,Benkgasse,male,other
AT,Benndorfgasse,male,other
AT,Bennogasse,male,other
AT,Bennoplatz,male,other
AT,Bensasteig,male,other
AT,Bentheimstraße,male,other
AT,Benyastraße,male,other
AT,Berchtoldgasse,male,other
AT,Bergenstammgasse,male,other
AT,Berglergasse,male,other
AT,Bergmillergasse,male,other
AT,Beringgasse,male,other
AT,Berlagasse,male,other
AT,Berlepschgasse,male,other
AT,Bernadottegasse,male,other
AT,Bernardgasse,male,other
AT,Bernatzikgasse,male,other
AT,Bernhard-Billes-Gasse,male,other
AT,Bernhard-Bolzano-Gasse,male,other
AT,Bernoullistraße,male,other
AT,Bernreiterplatz,male,other
AT,Berresgasse,male,other
AT,Bert-Brecht-Platz,male,other
AT,Berta-Karlik-Gasse,female,other
AT,Bertégasse,male,other
AT,Bertha-Eckstein-Weg,female,other
AT,Bertha-Löwi-Weg,female,other
AT,Bertha-von-Suttner-Gasse,female,other
AT,Bertha-Zuckerkandl-Weg,female,other
AT,Berthold-Viertel-Gasse,male,other
AT,Bertl-Hayde-Gasse,female,other
AT,Bertlgasse,male,other
AT,Bertoldusgasse,male,other
AT,Bertoligasse,male,other
AT,Berzeliusgasse,male,other
AT,Berzeliusplatz,male,other
AT,Bessemerstraße,male,other
AT,Bethlengasse,male,other
AT,Bettelheimstraße,male,other
AT,Betty-Fischer-Weg,female,other
AT,Betty-Roose-Weg,female,other
AT,Beyfusgasse,male,other
AT,Biblgasse,male,other
AT,Bickellgasse,male,other
AT,Bickgasse,male,other
AT,Biedergasse,male,other
AT,Biedermanngasse,male,other
AT,Bienefeldgasse,male,other
AT,Billergasse,male,other
AT,Billrothstraße,male,other
AT,Billy-Wilder-Promenade,male,other
AT,Bindingweg,male,other
